index_records_per_node,num_levels,num_threads,average_time_elapsed
4096,2,1,0.662485
4096,2,2,0.332351
4096,2,3,0.221486
4096,2,4,0.166191
4096,2,5,0.133468
4096,2,6,0.110869
4096,2,7,0.095480
4096,2,8,0.084117
4096,2,9,0.075118
4096,2,10,0.067895
4096,2,11,0.061706
4096,2,12,0.056698
256,3,1,0.083009
256,3,2,0.042056
256,3,3,0.028293
256,3,4,0.021223
256,3,5,0.017324
256,3,6,0.014336
256,3,7,0.012478
256,3,8,0.010981
256,3,9,0.010021
256,3,10,0.009120
256,3,11,0.008552
256,3,12,0.007940
8192,2,1,1.325969
8192,2,2,0.664086
8192,2,3,0.442918
8192,2,4,0.332522
8192,2,5,0.266100
8192,2,6,0.221689
8192,2,7,0.190307
8192,2,8,0.168229
8192,2,9,0.149601
8192,2,10,0.134914
8192,2,11,0.122747
8192,2,12,0.112749
